fecha,cnae_cod,cnae_nombre,afiliados_medios_reg_general,afiliados_medios_autonomos,afiliados_medios_total
2009-03-01,33,Reparación e instalación de maquinaria y equipo,55816,15834.68,71650.68
2009-03-01,35,"Suministro de energía eléctrica, gas, vapor  y aire c.",39751.13,1109.9,40861.03
2009-03-01,36,"Captación, depuración y distribución de agua",40454.13,512.27,40966.399999999994
2009-03-01,37,Recogida y tratamiento de aguas residuales,4051.27,208.36,4259.63
2009-03-01,38,"Recogida, tratamiento y eliminación de residuos",87011.31,1657.04,88668.34999999999
2009-03-01,39,Actividades de descontaminación y otros,990.31,119.54,1109.85
2009-03-01,41,Construcción de edificios,607649.72,151776.08,759425.7999999999
2009-03-01,42,Ingeniería civil,94780,33866.63,128646.63
2009-03-01,43,Actividades de construcción especializada,652321.13,322725.76,975046.89
2009-03-01,45,Venta y reparación de vehículos de motor,253994.09,83670.13,337664.22
2009-03-01,46,"Comercio al por mayor e intermediarios, excepto v. motor",776836.09,173396.5,950232.59
2009-03-01,47,"Comercio al por menor, excepto de vehículos motor",1287363.81,536426.53,1823790.34
2009-03-01,49,Transporte terrestre y por tubería,394389.72,206534.77,600924.49
2009-03-01,50,Transporte marítimo y por vías navegable,741.5,169.59,911.09
2009-03-01,51,Transporte aéreo,39721.4,142.31,39863.71
2009-03-01,52,Almacenamiento y actividades anexas al transporte,150865.68,5756.4,156622.08
2009-03-01,53,Actividades postales y de correos,61589.18,3801,65390.18
2009-03-01,55,Servicios de alojamiento,218290.4,16819.22,235109.62
2009-03-01,56,Servicios de comidas y bebidas,681735.13,301687.26,983422.39
2009-03-01,58,Edición,76677.68,10482.86,87160.54
2009-03-01,59,"Actividades cinematográficas, de vídeo y prog. telev.",35537.86,6917.4,42455.26
2009-03-01,60,Actividades de programación y emisión de radio y telev.,26638.59,806.31,27444.9
2009-03-01,61,Telecomunicaciones,85298.86,4472.72,89771.58
2009-03-01,62,"Programación, consultoría y otras activ. ,  Informáticas",140471.86,17156.86,157628.71999999997
2009-03-01,63,Servicios de información,13990.22,5291.49,19281.71
2009-03-01,64,"Servicios financieros, excepto seguros y fondos pens.",289366.4,3062.72,292429.12
